grid_lat,grid_lon,accident_count,mean_risk_score,max_risk_score,critical_count,actual_fatal_count,main_province,main_vehicle,main_road_type,peak_hour,actual_fatal_rate,risk_norm,count_norm,critical_norm,priority_score
6.425000000000001,101.72500000000001,12,0.4607700277863387,0.6226076056613249,0,2,นราธิวาส,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง,12,0.16666666666666666,0.7175943738607544,0.0058997050147492625,0.0,43.2
6.525,101.17500000000001,12,0.33829629888918644,0.5366169502903052,0,1,ยะลา,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง,0,0.08333333333333333,0.5079310903037616,0.0058997050147492625,0.0,30.62
6.575000000000001,100.42500000000001,12,0.3016226510549354,0.5613697368995606,0,0,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง,16,0.0,0.44514932074239844,0.0058997050147492625,0.0,26.86
6.575000000000001,101.275,21,0.34312379849066027,0.6774524310393557,2,1,ยะลา,รถปิคอัพบรรทุก 4 ล้อ,ไม่ระบุ,15,0.047619047619047616,0.516195306858032,0.032448377581120944,0.15384615384615385,34.09
6.825000000000001,99.92500000000001,11,0.32389638323176234,0.6473086813084735,0,1,สตูล,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง,2,0.09090909090909091,0.4832798150722005,0.0029498525073746312,0.0,29.07
6.925000000000001,100.87500000000001,10,0.30799242927116555,0.4068586648235325,0,0,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง,7,0.0,0.4560537704425143,0.0,0.0,27.36
6.9750000000000005,100.42500000000001,10,0.29809356357639183,0.4242341266405529,0,0,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง,9,0.0,0.43910786127697576,0.0,0.0,26.35
6.9750000000000005,100.525,11,0.4001798361759646,0.7997082209391019,1,0,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางโค้งกว้าง,4,0.0,0.6138697739912898,0.0029498525073746312,0.07692307692307693,38.06
6.9750000000000005,100.57500000000002,11,0.46338515657307633,0.7079778573380759,1,1,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง,9,0.09090909090909091,0.7220712236577608,0.0029498525073746312,0.07692307692307693,44.55
6.9750000000000005,100.67500000000001,10,0.38852869974283577,0.4909359279913022,0,0,สงขลา,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง,8,0.0,0.5939241452941212,0.0,0.0,35.64
7.2250000000000005,100.17500000000001,11,0.3211017636988273,0.40649992291974396,0,1,พัทลุง,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง,0,0.09090909090909091,0.4784956943236627,0.0029498525073746312,0.0,28.78
7.275,100.17500000000001,16,0.38116164534255803,0.5428660271473731,0,2,พัทลุง,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง,4,0.125,0.5813124543656747,0.017699115044247787,0.0,35.32
7.325000000000001,100.12500000000001,12,0.3503228273426062,0.4750522556032307,0,0,พัทลุง,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง,7,0.0,0.5285193541546406,0.0058997050147492625,0.0,31.86
7.375000000000001,99.67500000000001,11,0.4954973730026524,0.8200579628719395,3,2,ตรัง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง,5,0.18181818181818182,0.777044259912512,0.0029498525073746312,0.23076923076923078,50.16
7.425000000000001,99.62500000000001,12,0.4442161571225624,0.8093582349858935,2,0,ตรัง,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง,7,0.0,0.6892557341361513,0.0058997050147492625,0.15384615384615385,43.81
7.425000000000001,100.07500000000002,11,0.3912441726587162,0.5100635326547764,0,0,พัทลุง,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง,8,0.0,0.5985727746212455,0.0029498525073746312,0.0,35.99
7.525,99.57500000000002,10,0.5904202841019343,0.8891179597434762,4,3,ตรัง,รถจักรยานยนต์,ทางตรง,11,0.3,0.9395431844171838,0.0,0.3076923076923077,60.99
